<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.17	19:15:00	2004.94	2005.86	2003.86	2003.86	1281	0	5
2024.01.17	19:30:00	2003.86	2006.31	2003.44	2005.98	1155	0	5
2024.01.17	19:45:00	2005.97	2008.02	2005.92	2007.06	934	0	5
2024.01.17	20:00:00	2007.09	2007.23	2003.70	2003.70	1266	0	5
2024.01.17	20:15:00	2003.56	2004.21	2002.31	2003.60	1131	0	5
2024.01.17	20:30:00	2003.66	2003.98	2001.91	2003.06	1050	0	5
2024.01.17	20:45:00	2003.04	2005.26	2002.40	2004.81	806	0	5
2024.01.17	21:00:00	2004.88	2006.38	2004.74	2005.50	919	0	5
2024.01.17	21:15:00	2005.50	2006.90	2005.24	2005.37	715	0	5
2024.01.17	21:30:00	2005.41	2005.81	2004.42	2005.53	758	0	5
2024.01.17	21:45:00	2005.54	2006.24	2005.44	2005.52	705	0	5
2024.01.17	22:00:00	2005.60	2006.05	2004.92	2005.24	658	0	5
2024.01.17	22:15:00	2005.32	2005.72	2004.82	2005.13	591	0	5
2024.01.17	22:30:00	2005.20	2006.85	2005.14	2006.83	519	0	5
2024.01.17	22:45:00	2006.89	2006.89	2005.50	2006.10	733	0	5
2024.01.17	23:00:00	2006.14	2006.14	2005.32	2005.94	316	0	5
2024.01.17	23:15:00	2005.93	2006.34	2005.72	2005.96	276	0	5
2024.01.17	23:30:00	2005.91	2006.32	2005.73	2005.81	195	0	5
2024.01.17	23:45:00	2005.82	2006.35	2005.73	2006.11	126	0	5
2024.01.18	01:00:00	2005.80	2008.77	2005.62	2007.62	590	0	5
2024.01.18	01:15:00	2007.64	2009.47	2007.19	2009.11	506	0	5
2024.01.18	01:30:00	2009.12	2009.14	2008.10	2008.47	274	0	5
2024.01.18	01:45:00	2008.42	2009.91	2008.22	2009.60	324	0	5
2024.01.18	02:00:00	2009.64	2009.64	2008.39	2008.72	438	0	5
2024.01.18	02:15:00	2008.88	2009.19	2008.48	2008.93	345	0	5
2024.01.18	02:30:00	2008.94	2009.22	2008.30	2008.87	505	0	5
2024.01.18	02:45:00	2008.87	2010.89	2008.87	2010.82	701	0	5
2024.01.18	03:00:00	2010.81	2011.20	2010.26	2010.56	970	0	5
2024.01.18	03:15:00	2010.53	2011.01	2009.57	2010.00	825	0	5
2024.01.18	03:30:00	2009.95	2010.78	2009.38	2009.75	1048	0	5
2024.01.18	03:45:00	2009.75	2012.17	2009.75	2011.68	708	0	5
2024.01.18	04:00:00	2011.70	2011.92	2010.75	2011.24	732	0	5
2024.01.18	04:15:00	2011.22	2011.41	2009.52	2009.96	539	0	5
2024.01.18	04:30:00	2009.95	2009.99	2008.57	2008.87	531	0	5
2024.01.18	04:45:00	2008.87	2008.87	2007.55	2007.70	707	0	5
2024.01.18	05:00:00	2007.70	2007.75	2006.44	2006.73	658	0	5
2024.01.18	05:15:00	2006.76	2008.82	2006.51	2007.14	645	0	5
2024.01.18	05:30:00	2007.16	2009.21	2006.76	2008.56	488	0	5
2024.01.18	05:45:00	2008.60	2009.17	2007.86	2008.05	540	0	5
2024.01.18	06:00:00	2008.03	2009.03	2008.00	2008.47	327	0	5
2024.01.18	06:15:00	2008.42	2008.82	2008.20	2008.62	329	0	5
2024.01.18	06:30:00	2008.63	2008.66	2007.90	2008.00	340	0	5
2024.01.18	06:45:00	2008.04	2009.24	2008.04	2008.16	341	0	5
2024.01.18	07:00:00	2008.15	2008.50	2006.20	2006.21	498	0	5
2024.01.18	07:15:00	2006.28	2007.37	2005.85	2006.95	636	0	5
2024.01.18	07:30:00	2006.88	2008.67	2006.16	2008.56	571	0	5
2024.01.18	07:45:00	2008.53	2009.46	2008.05	2009.28	686	0	5
2024.01.18	08:00:00	2009.30	2011.88	2008.90	2011.34	869	0	5
2024.01.18	08:15:00	2011.36	2012.94	2011.10	2012.05	853	0	7
2024.01.18	08:30:00	2012.03	2012.52	2011.50	2011.90	782	0	7
2024.01.18	08:45:00	2011.89	2013.06	2011.16	2012.74	867	0	7
2024.01.18	09:00:00	2012.60	2014.13	2012.44	2013.18	849	0	5
2024.01.18	09:15:00	2013.17	2013.35	2011.10	2011.53	852	0	5
2024.01.18	09:30:00	2011.54	2014.04	2011.35	2013.56	713	0	5
2024.01.18	09:45:00	2013.58	2013.74	2012.12	2012.34	615	0	5
2024.01.18	10:00:00	2012.32	2012.38	2009.75	2010.74	1043	0	5
2024.01.18	10:15:00	2010.75	2012.16	2009.94	2011.94	847	0	5
2024.01.18	10:30:00	2011.93	2011.94	2010.04	2010.43	775	0	5
2024.01.18	10:45:00	2010.36	2010.88	2009.60	2009.72	613	0	5
2024.01.18	11:00:00	2009.58	2009.86	2008.18	2009.48	857	0	5
2024.01.18	11:15:00	2009.48	2012.21	2009.25	2011.84	877	0	5
2024.01.18	11:30:00	2011.83	2012.97	2011.48	2011.91	969	0	5
2024.01.18	11:45:00	2011.92	2012.05	2009.82	2010.16	650	0	5
2024.01.18	12:00:00	2010.22	2011.28	2009.23	2011.14	733	0	5
2024.01.18	12:15:00	2011.15	2012.07	2011.15	2011.97	533	0	5
2024.01.18	12:30:00	2011.94	2012.22	2010.12	2011.08	605	0	5
2024.01.18	12:45:00	2011.06	2011.73	2010.13	2011.63	590	0	5
2024.01.18	13:00:00	2011.62	2012.18	2010.78	2011.22	682	0	5
2024.01.18	13:15:00	2011.22	2012.71	2011.04	2012.48	617	0	5
2024.01.18	13:30:00	2012.48	2013.10	2011.96	2013.09	778	0	5
2024.01.18	13:45:00	2013.05	2013.49	2011.46	2012.61	727	0	5
2024.01.18	14:00:00	2012.62	2015.72	2012.62	2014.94	1127	0	5
2024.01.18	14:15:00	2014.95	2016.92	2014.95	2016.74	960	0	5
2024.01.18	14:30:00	2016.77	2017.27	2013.88	2014.56	1082	0	5
2024.01.18	14:45:00	2014.61	2016.28	2014.60	2014.98	1085	0	5
2024.01.18	15:00:00	2014.89	2014.89	2013.13	2013.64	1356	0	5
2024.01.18	15:15:00	2013.61	2014.22	2011.27	2011.44	1366	0	5
2024.01.18	15:30:00	2012.23	2013.17	2007.81	2009.26	2409	0	5
2024.01.18	15:45:00	2009.26	2011.67	2008.53	2009.12	1850	0	5
2024.01.18	16:00:00	2009.14	2013.22	2009.13	2011.17	1782	0	5
2024.01.18	16:15:00	2011.14	2012.88	2009.51	2011.56	1569	0	5
2024.01.18	16:30:00	2011.50	2013.06	2010.88	2011.34	2277	0	5
2024.01.18	16:45:00	2011.41	2013.65	2011.04	2012.87	1858	0	5
2024.01.18	17:00:00	2012.95	2014.64	2011.71	2012.66	1628	0	5
2024.01.18	17:15:00	2012.72	2014.29	2012.45	2013.87	1460	0	5
2024.01.18	17:30:00	2013.96	2015.69	2013.60	2015.00	1649	0	5
2024.01.18	17:45:00	2014.90	2015.06	2013.12	2013.64	1550	0	5
2024.01.18	18:00:00	2013.65	2015.47	2013.14	2014.45	1325	0	5
2024.01.18	18:15:00	2014.45	2017.73	2013.98	2017.02	1332	0	5
2024.01.18	18:30:00	2017.02	2017.30	2014.41	2014.55	1300	0	5
2024.01.18	18:45:00	2014.58	2015.23	2013.78	2014.94	1085	0	5
2024.01.18	19:00:00	2014.95	2015.58	2013.25	2014.59	1236	0	5
2024.01.18	19:15:00	2014.77	2015.23	2013.81	2015.18	1028	0	5
2024.01.18	19:30:00	2015.12	2015.81	2014.16	2015.41	934	0	5
2024.01.18	19:45:00	2015.42	2016.41	2015.26	2016.40	707	0	5
2024.01.18	20:00:00	2016.42	2016.77	2015.59	2016.02	995	0	5
2024.01.18	20:15:00	2016.03	2020.68	2015.57	2018.84	1242	0	5
2024.01.18	20:30:00	2018.70	2020.94	2018.40	2019.84	1141	0	5
2024.01.18	20:45:00	2019.83	2021.13	2019.57	2020.59	888	0	5
2024.01.18	21:00:00	2020.46	2020.48	2018.90	2019.34	772	0	5
2024.01.18	21:15:00	2019.34	2020.48	2018.37	2019.66	677	0	5
